Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_1206_3216Metric",78.486000,-117.354000,-90.000000,top
"D2","D","D_1206_3216Metric",74.676000,-95.764000,-90.000000,top
"D3","SMAJ13CA","D_SMA",74.676000,-82.302000,90.000000,top
"D4","SMAJ13CA","D_SMA",78.486000,-82.270000,90.000000,top
"D5","SMAJ13CA","D_SMA",74.676000,-103.555200,90.000000,top
"D6","SMAJ13CA","D_SMA",78.486000,-103.555200,90.000000,top
"D7","SMAJ13CA","D_SMA",74.632000,-125.018200,90.000000,top
"D8","SMAJ13CA","D_SMA",78.442000,-125.006000,90.000000,top
"D9","D","D_1206_3216Metric",69.088000,-62.744000,180.000000,top
"D10","D","D_1206_3216Metric",69.088000,-53.854000,180.000000,top
"D11","D","D_1206_3216Metric",111.970000,-74.044000,-90.000000,top
"D12","D","D_1206_3216Metric",147.512500,-73.917000,-90.000000,top
"D13","D","D_1206_3216Metric",182.753000,-73.920000,-90.000000,top
"D14","D","D_1206_3216Metric",218.948000,-73.920000,-90.000000,top
"D15","D","D_1206_3216Metric",112.014000,-122.310000,-90.000000,top
"D16","D","D_1206_3216Metric",147.574000,-122.310000,-90.000000,top
"D17","D","D_1206_3216Metric",182.880000,-122.304000,-90.000000,top
"D18","D","D_1206_3216Metric",218.948000,-122.310000,-90.000000,top
"F1","3557-2","keystone_electronics_3557-2",54.693000,-127.939200,0.000000,top
"F2","3557-2","keystone_electronics_3557-2",54.737000,-106.476200,0.000000,top
"F3","3557-2","keystone_electronics_3557-2",54.737000,-85.096000,0.000000,top
"F4","3557-2","keystone_electronics_3557-2",123.063000,-80.651000,0.000000,top
"F5","3557-2","keystone_electronics_3557-2",158.561500,-80.651000,0.000000,top
"F6","3557-2","keystone_electronics_3557-2",193.802000,-80.651000,0.000000,top
"F7","3557-2","keystone_electronics_3557-2",230.251000,-80.645000,0.000000,top
"F8","3557-2","keystone_electronics_3557-2",123.063000,-103.003000,0.000000,top
"F9","3557-2","keystone_electronics_3557-2",158.623000,-103.003000,0.000000,top
"F10","3557-2","keystone_electronics_3557-2",193.929000,-103.003000,0.000000,top
"F11","3557-2","keystone_electronics_3557-2",230.251000,-103.003000,0.000000,top
"J1","XT60-M","XT60-M",61.214000,-118.878000,0.000000,top
"J2","XT60-M","XT60-M",61.214000,-97.542000,0.000000,top
"J3","XT60-M","XT60-M",61.258000,-75.952000,0.000000,top
"J4","B2B-PH-K-S","B2B-PH-K-S",75.438000,-64.014000,0.000000,top
"J5","B2B-PH-K-S","B2B-PH-K-S",75.438000,-55.124000,0.000000,top
"J6","XT60-M","XT60-M",100.838000,-58.934000,90.000000,top
"J7","XT60-M","XT60-M",88.138000,-58.934000,90.000000,top
"J8","61300211121","61300211121",113.284000,-62.744000,0.000000,top
"J9","B2B-PH-K-S","B2B-PH-K-S",113.284000,-68.078000,90.000000,top
"J10","XT60-M","XT60-M",129.794000,-55.632000,0.000000,top
